operator,constant,found,total,elapsed_ms
Plus_ArcSin_Tan,1,3,35,5.43ms
Plus_ArcSin_Tan,E,3,35,5.55ms
Plus_ArcSin_Tan,Pi,4,35,14.52ms
Plus_ArcSin_Tan,-1,3,35,5.31ms
Plus_ArcSin_Tan,2,3,35,5.48ms
Plus_ArcSin_Tan,0,4,35,28.01ms
Plus_ArcSin_Tan,I,2,35,5.85ms
Plus_ArcSin_ArcSin,1,4,35,6.78ms
Plus_ArcSin_ArcSin,E,3,35,3.75ms
Plus_ArcSin_ArcSin,Pi,3,35,3.66ms
Plus_ArcSin_ArcSin,-1,3,35,3.44ms
Plus_ArcSin_ArcSin,2,3,35,3.72ms
Plus_ArcSin_ArcSin,0,3,35,7.06ms
Plus_ArcSin_ArcSin,I,2,35,3.61ms
Plus_ArcSin_ArcTan,1,3,35,7.02ms
Plus_ArcSin_ArcTan,E,3,35,7.24ms
Plus_ArcSin_ArcTan,Pi,3,35,7.17ms
Plus_ArcSin_ArcTan,-1,3,35,7.13ms
Plus_ArcSin_ArcTan,2,3,35,7.23ms
Plus_ArcSin_ArcTan,0,4,35,37.29ms
Plus_ArcSin_ArcTan,I,2,35,4.62ms
Plus_ArcSin_Sinh,1,3,35,5.78ms
Plus_ArcSin_Sinh,E,3,35,5.60ms
Plus_ArcSin_Sinh,Pi,3,35,6.14ms
Plus_ArcSin_Sinh,-1,3,35,5.39ms
Plus_ArcSin_Sinh,2,3,35,5.46ms
Plus_ArcSin_Sinh,0,4,35,27.76ms
Plus_ArcSin_Sinh,I,2,35,6.53ms
Plus_ArcSin_Cosh,1,3,35,5.41ms
Plus_ArcSin_Cosh,E,3,35,5.63ms
Plus_ArcSin_Cosh,Pi,3,35,5.33ms
Plus_ArcSin_Cosh,-1,3,35,5.37ms
Plus_ArcSin_Cosh,2,3,35,5.46ms
Plus_ArcSin_Cosh,0,4,35,24.29ms
Plus_ArcSin_Cosh,I,2,35,5.52ms
Plus_ArcSin_Tanh,1,3,35,5.69ms
Plus_ArcSin_Tanh,E,3,35,5.76ms
Plus_ArcSin_Tanh,Pi,3,35,5.71ms
Plus_ArcSin_Tanh,-1,3,35,5.98ms
Plus_ArcSin_Tanh,2,3,35,5.73ms
Plus_ArcSin_Tanh,0,4,35,29.25ms
Plus_ArcSin_Tanh,I,2,35,5.72ms
Plus_ArcSin_ArcSinh,1,3,35,6.85ms
Plus_ArcSin_ArcSinh,E,3,35,7.31ms
Plus_ArcSin_ArcSinh,Pi,3,35,7.07ms
Plus_ArcSin_ArcSinh,-1,3,35,6.79ms
Plus_ArcSin_ArcSinh,2,3,35,7.10ms
Plus_ArcSin_ArcSinh,0,4,35,36.54ms
Plus_ArcSin_ArcSinh,I,2,35,7.15ms
Plus_ArcSin_ArcTanh,1,3,35,4.20ms
Plus_ArcSin_ArcTanh,E,3,35,6.86ms
Plus_ArcSin_ArcTanh,Pi,3,35,6.91ms
Plus_ArcSin_ArcTanh,-1,3,35,4.07ms
Plus_ArcSin_ArcTanh,2,3,35,7.03ms
Plus_ArcSin_ArcTanh,0,4,35,35.94ms
Plus_ArcSin_ArcTanh,I,2,35,7.50ms
Plus_ArcSin_Inv,1,3,35,4.80ms
Plus_ArcSin_Inv,E,3,35,5.10ms
Plus_ArcSin_Inv,Pi,3,35,4.91ms
Plus_ArcSin_Inv,-1,3,35,4.68ms
Plus_ArcSin_Inv,2,3,35,4.98ms
Plus_ArcSin_Inv,0,3,35,4.96ms
Plus_ArcSin_Inv,I,2,35,5.16ms
Plus_ArcSin_Minus,1,3,35,4.30ms
Plus_ArcSin_Minus,E,3,35,4.48ms
Plus_ArcSin_Minus,Pi,3,35,4.37ms
Plus_ArcSin_Minus,-1,3,35,4.24ms
Plus_ArcSin_Minus,2,3,35,4.33ms
Plus_ArcSin_Minus,0,4,35,13.70ms
Plus_ArcSin_Minus,I,2,35,4.64ms
Plus_ArcSin_Sqr,1,3,35,4.72ms
Plus_ArcSin_Sqr,E,3,35,5.00ms
Plus_ArcSin_Sqr,Pi,3,35,5.31ms
Plus_ArcSin_Sqr,-1,3,35,4.71ms
Plus_ArcSin_Sqr,2,3,35,4.97ms
Plus_ArcSin_Sqr,0,4,35,24.36ms
Plus_ArcSin_Sqr,I,2,35,4.92ms
Plus_ArcSin_Sqrt,1,3,35,5.62ms
Plus_ArcSin_Sqrt,E,3,35,5.89ms
Plus_ArcSin_Sqrt,Pi,3,35,6.00ms
Plus_ArcSin_Sqrt,-1,3,35,6.07ms
Plus_ArcSin_Sqrt,2,3,35,6.04ms
Plus_ArcSin_Sqrt,0,4,35,29.88ms
Plus_ArcSin_Sqrt,I,2,35,6.70ms
Plus_ArcSin_Id,1,3,35,4.25ms
Plus_ArcSin_Id,E,3,35,4.60ms
Plus_ArcSin_Id,Pi,3,35,4.44ms
Plus_ArcSin_Id,-1,3,35,4.15ms
Plus_ArcSin_Id,2,3,35,4.35ms
Plus_ArcSin_Id,0,3,35,6.61ms
Plus_ArcSin_Id,I,2,35,4.31ms
Plus_ArcSin_LogisticSigmoid,1,3,35,5.52ms
Plus_ArcSin_LogisticSigmoid,E,3,35,5.67ms
Plus_ArcSin_LogisticSigmoid,Pi,3,35,5.82ms
Plus_ArcSin_LogisticSigmoid,-1,3,35,5.34ms
Plus_ArcSin_LogisticSigmoid,2,3,35,5.79ms
Plus_ArcSin_LogisticSigmoid,0,3,35,12.57ms
Plus_ArcSin_LogisticSigmoid,I,2,35,5.67ms
Plus_ArcCos_Exp,1,6,35,86.76ms
Plus_ArcCos_Exp,E,4,35,22.16ms
Plus_ArcCos_Exp,Pi,4,35,20.19ms
Plus_ArcCos_Exp,-1,3,35,5.57ms
Plus_ArcCos_Exp,2,3,35,5.32ms
Plus_ArcCos_Exp,0,2,35,5.28ms
Plus_ArcCos_Exp,I,2,35,5.34ms
Plus_ArcCos_Log,1,5,35,32.65ms
Plus_ArcCos_Log,E,3,35,6.22ms
Plus_ArcCos_Log,Pi,3,35,6.54ms
Plus_ArcCos_Log,-1,3,35,5.80ms
Plus_ArcCos_Log,2,3,35,5.97ms
Plus_ArcCos_Log,0,2,35,3.70ms
Plus_ArcCos_Log,I,2,35,6.06ms
Plus_ArcCos_Sin,1,5,35,32.25ms
Plus_ArcCos_Sin,E,3,35,5.35ms
Plus_ArcCos_Sin,Pi,4,35,13.56ms
Plus_ArcCos_Sin,-1,3,35,5.05ms
Plus_ArcCos_Sin,2,3,35,5.31ms
Plus_ArcCos_Sin,0,3,35,13.55ms
Plus_ArcCos_Sin,I,2,35,5.74ms
Plus_ArcCos_Cos,1,4,35,11.10ms
Plus_ArcCos_Cos,E,3,35,5.50ms
Plus_ArcCos_Cos,Pi,3,35,5.36ms
Plus_ArcCos_Cos,-1,3,35,5.23ms
Plus_ArcCos_Cos,2,3,35,5.51ms
Plus_ArcCos_Cos,0,2,35,5.57ms
Plus_ArcCos_Cos,I,2,35,5.80ms
Plus_ArcCos_Tan,1,4,35,12.55ms
Plus_ArcCos_Tan,E,3,35,5.88ms
Plus_ArcCos_Tan,Pi,4,35,14.60ms
Plus_ArcCos_Tan,-1,3,35,5.44ms
Plus_ArcCos_Tan,2,3,35,5.79ms
Plus_ArcCos_Tan,0,3,35,13.79ms
Plus_ArcCos_Tan,I,2,35,5.72ms
Plus_ArcCos_ArcSin,1,4,35,16.77ms
Plus_ArcCos_ArcSin,E,3,35,6.16ms
Plus_ArcCos_ArcSin,Pi,3,35,5.90ms
Plus_ArcCos_ArcSin,-1,3,35,6.23ms
Plus_ArcCos_ArcSin,2,3,35,5.96ms
Plus_ArcCos_ArcSin,0,3,35,15.74ms
